"","row","max_row","tournamentNumber","seasonYear","courseNumber","roundNumber","holeNumber","groupId","playerId","shotNumber","kind","timeInterval","validTimeInterval","measuredTimeInterval","xFit","yFit","zFit","spinRateFit"
"71",1,5,"047","2021","538",1,6,1,"46441",1,"Flight",0,0,0,-1.39372,5.56459e-16,0.555568,-6.56051
"72",2,5,"047","2021","538",1,6,1,"46441",1,"Flight",2.5,2.968,2.495432,73.3541,18.1201,0.00220625,39.0866
"73",3,5,"047","2021","538",1,6,1,"46441",1,"Flight",3.75,4.452,3.743148,-11.9859,-2.21218,0.966703,-33.0184
"74",4,5,"047","2021","538",1,6,1,"46441",1,"Flight",5,5.936,4.990864,2.2984,0.0154286,-0.196995,8.34265
"75",5,5,"047","2021","538",1,6,1,"46441",1,"Flight",6.25,7.42,6.23858,-0.331652,-0.0547422,0.0252288,-0.597651
"76",1,5,"047","2021","538",1,7,1,"29461",1,"Flight",0,0,0,-0.21293,2.17294e-15,0.439106,265.738
"77",2,5,"047","2021","538",1,7,1,"29461",1,"Flight",3.024,3.552,2.316956,75.5689,17.7894,-10.0587,-1208.43
"78",3,5,"047","2021","538",1,7,1,"29461",1,"Flight",4.536,5.328,3.475434,-12.1396,-1.19325,1.93991,630.188
"79",4,5,"047","2021","538",1,7,1,"29461",1,"Flight",6.048,7.104,4.633912,1.96069,-0.290882,-0.330962,-85.4537
"80",5,5,"047","2021","538",1,7,1,"29461",1,"Flight",7.56,8.88,5.79239,-0.222074,0.0131964,0.0398542,3.59119
"81",1,5,"047","2021","538",1,7,1,"31560",1,"Flight",0,0,0,-1.2418,-3.94192e-15,-0.711176,-76.1057
"82",2,5,"047","2021","538",1,7,1,"31560",1,"Flight",2.648,3.144,2.615216,67.8758,14.4555,6.39274,428.983
"83",3,5,"047","2021","538",1,7,1,"31560",1,"Flight",3.972,4.716,3.922824,-10.2361,-0.166761,-1.40921,-343.497
"84",4,5,"047","2021","538",1,7,1,"31560",1,"Flight",5.296,6.288,5.230432,1.50278,-0.49857,0.230694,82.0853
"85",5,5,"047","2021","538",1,7,1,"31560",1,"Flight",6.62,7.86,6.53804,-0.159639,0.0265102,-0.0254156,-5.5597
"86",1,5,"047","2021","538",1,7,1,"46441",1,"Flight",0,0,0,-0.294326,6.687e-15,-0.556692,269.714
"87",2,5,"047","2021","538",1,7,1,"46441",1,"Flight",2.98,3.572,2.501724,74.4875,17.7738,-3.40477,-794.926
"88",3,5,"047","2021","538",1,7,1,"46441",1,"Flight",4.47,5.358,3.752586,-11.8371,-1.29393,1.05953,251.786
"89",4,5,"047","2021","538",1,7,1,"46441",1,"Flight",5.96,7.144,5.003448,1.95561,-0.404027,-0.211748,0.167175
"90",5,5,"047","2021","538",1,7,1,"46441",1,"Flight",7.45,8.93,6.25431,-0.229112,0.0466662,0.030312,-1.7451
"91",1,5,"047","2021","538",1,10,1,"29461",1,"Flight",0,0,0,0.285877,1.7573e-15,0.273856,-150.728
"92",2,5,"047","2021","538",1,10,1,"29461",1,"Flight",2.556,3.1,2.664856,67.6872,11.4785,-1.07621,751.587
"93",3,5,"047","2021","538",1,10,1,"29461",1,"Flight",3.834,4.65,3.997284,-10.3939,0.493001,1.19126,-574.397
"94",4,5,"047","2021","538",1,10,1,"29461",1,"Flight",5.112,6.2,5.329712,1.5037,-0.566702,-0.248723,133.747
"95",5,5,"047","2021","538",1,10,1,"29461",1,"Flight",6.39,7.75,6.66214,-0.154638,0.0279598,0.032842,-8.96266
"96",1,5,"047","2021","538",1,10,1,"31560",1,"Flight",0,0,0,0.394357,5.21015e-16,0.197245,-132.732
"97",2,5,"047","2021","538",1,10,1,"31560",1,"Flight",2.664,3.2,2.621236,67.4934,13.0969,1.18315,765.059
"98",3,5,"047","2021","538",1,10,1,"31560",1,"Flight",3.996,4.8,3.931854,-10.1554,0.184694,-0.755468,-599.292
"99",4,5,"047","2021","538",1,10,1,"31560",1,"Flight",5.328,6.4,5.242472,1.36704,-0.56918,0.152648,140.265
"100",5,5,"047","2021","538",1,10,1,"31560",1,"Flight",6.66,8,6.55309,-0.119227,0.039517,-0.0200161,-9.32406
"101",1,5,"047","2021","538",1,10,1,"46441",1,"Flight",0,0,0,0.293621,1.75475e-15,1.19173,102.931
"102",2,5,"047","2021","538",1,10,1,"46441",1,"Flight",2.784,3.348,2.546396,66.5341,15.2474,-0.559303,-45.2408
"103",3,5,"047","2021","538",1,10,1,"46441",1,"Flight",4.176,5.022,3.819594,-10.0391,-0.585768,-0.849267,-187.967
"104",4,5,"047","2021","538",1,10,1,"46441",1,"Flight",5.568,6.696,5.092792,1.40478,-0.40445,0.20945,79.5263
"105",5,5,"047","2021","538",1,10,1,"46441",1,"Flight",6.96,8.37,6.36599,-0.134851,0.0152337,-0.0323241,-6.38038
"106",1,5,"047","2021","538",1,11,1,"29461",1,"Flight",0,0,0,-2.10393,0,1.20483,-39.3029
"107",2,5,"047","2021","538",1,11,1,"29461",1,"Flight",2.048,2.688,2.167764,68.8249,9.38631,-1.06583,379.847
"108",3,5,"047","2021","538",1,11,1,"29461",1,"Flight",3.072,4.032,3.251646,-9.94084,-0.594572,-1.40795,-405.156
"109",4,5,"047","2021","538",1,11,1,"29461",1,"Flight",4.096,5.376,4.335528,1.67738,-0.235429,0.278388,122.596
"110",5,5,"047","2021","538",1,11,1,"29461",1,"Flight",5.12,6.72,5.41941,-0.234245,-0.0258392,-0.0386788,-10.1472
"111",1,5,"047","2021","538",1,11,1,"31560",1,"Flight",0,0,0,-0.825823,-2.54867e-15,-0.351008,-110.608
"112",2,5,"047","2021","538",1,11,1,"31560",1,"Flight",2.472,3.032,2.547976,69.0118,16.402,5.08705,652.513
"113",3,5,"047","2021","538",1,11,1,"31560",1,"Flight",3.708,4.548,3.821964,-10.1987,-2.4454,-1.95335,-538.749
"114",4,5,"047","2021","538",1,11,1,"31560",1,"Flight",4.944,6.064,5.095952,1.81735,0.194712,0.345635,133.312
